# MOMENTUM   S11    S31    P11    P13    P31    P33
100.00       5.57   -3.64  -0.50  -0.26  -0.43   2.74
103.00       5.70   -3.79  -0.53  -0.28  -0.47   2.99
106.00       5.84   -3.94  -0.56  -0.30  -0.50   3.26
109.00       5.97   -4.09  -0.59  -0.32  -0.54   3.54
112.00       6.10   -4.24  -0.62  -0.34  -0.58   3.84
115.00       6.22   -4.40  -0.65  -0.36  -0.62   4.15
118.00       6.34   -4.55  -0.68  -0.39  -0.66   4.48
121.00       6.47   -4.71  -0.71  -0.41  -0.70   4.83
124.00       6.58   -4.87  -0.74  -0.44  -0.75   5.20
127.00       6.70   -5.04  -0.77  -0.46  -0.79   5.59
130.00       6.81   -5.20  -0.80  -0.49  -0.84   5.99
133.00       6.92   -5.36  -0.82  -0.51  -0.88   6.42
136.00       7.03   -5.53  -0.85  -0.54  -0.93   6.87
139.00       7.14   -5.70  -0.87  -0.57  -0.98   7.34
142.00       7.24   -5.87  -0.90  -0.60  -1.03   7.84
145.00       7.35   -6.04  -0.92  -0.63  -1.09   8.36
148.00       7.44   -6.21  -0.94  -0.65  -1.14   8.90
151.00       7.54   -6.38  -0.95  -0.68  -1.19   9.48
154.00       7.64   -6.55  -0.97  -0.71  -1.25  10.07
157.00       7.73   -6.72  -0.98  -0.74  -1.31  10.70
160.00       7.82   -6.90  -1.00  -0.78  -1.36  11.36
163.00       7.91   -7.07  -1.01  -0.81  -1.42  12.05
166.00       8.00   -7.25  -1.01  -0.84  -1.48  12.77
169.00       8.08   -7.43  -1.02  -0.87  -1.54  13.52
172.00       8.16   -7.60  -1.02  -0.90  -1.61  14.31
175.00       8.24   -7.78  -1.02  -0.94  -1.67  15.14
178.00       8.32   -7.96  -1.02  -0.97  -1.73  16.00
181.00       8.40   -8.14  -1.01  -1.00  -1.80  16.91
184.00       8.48   -8.31  -1.01  -1.04  -1.86  17.85
187.00       8.55   -8.49  -1.00  -1.07  -1.93  18.85
190.00       8.62   -8.67  -0.98  -1.11  -2.00  19.88
193.00       8.69   -8.85  -0.97  -1.14  -2.07  20.97
196.00       8.76   -9.03  -0.95  -1.18  -2.13  22.10
199.00       8.83   -9.21  -0.92  -1.21  -2.20  23.28
202.00       8.89   -9.39  -0.90  -1.25  -2.28  24.52
205.00       8.96   -9.57  -0.87  -1.28  -2.35  25.82
208.00       9.02   -9.74  -0.83  -1.32  -2.42  27.17
211.00       9.08   -9.92  -0.80  -1.35  -2.49  28.58
214.00       9.14  -10.10  -0.76  -1.39  -2.57  30.05
217.00       9.20  -10.28  -0.71  -1.43  -2.64  31.58
220.00       9.26  -10.46  -0.66  -1.46  -2.72  33.18
223.00       9.32  -10.63  -0.61  -1.50  -2.79  34.84
226.00       9.38  -10.81  -0.55  -1.53  -2.87  36.56
229.00       9.43  -10.99  -0.49  -1.57  -2.95  38.35
232.00       9.49  -11.16  -0.43  -1.61  -3.03  40.21
235.00       9.55  -11.34  -0.36  -1.65  -3.11  42.13
238.00       9.60  -11.51  -0.29  -1.68  -3.19  44.12
241.00       9.65  -11.69  -0.21  -1.72  -3.27  46.17
244.00       9.71  -11.86  -0.12  -1.76  -3.35  48.28
247.00       9.76  -12.03  -0.04  -1.79  -3.43  50.44
250.00       9.81  -12.21   0.05  -1.83  -3.51  52.65
